base_last	incremental_last	all_last	base	incremental	all	exp_name	dataset	dataroot	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	pre_trained_url	encoder	num_mlp	shot	way	session	base_class	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	gpu	distributed	distributed_launcher	distributed_backend	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	num_classes	sessions	save_path	size_crops
85.28	4.38	52.92	[91.17, 86.56, 86.56, 86.45, 86.45, 86.32, 86.32, 86.32, 85.28]	[nan, 1.87, 0.93, 3.22, 2.47, 3.8, 3.18, 3.02, 4.38]	[91.17, 80.05, 74.33, 69.81, 65.45, 62.05, 58.61, 55.63, 52.92]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	15	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	2	[]	0	1	-1	1	False	True	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
83.72	8.8	53.75	[90.44, 85.68, 85.68, 85.22, 85.22, 84.7, 84.7, 84.69, 83.72]	[nan, 10.27, 5.43, 7.71, 7.05, 8.89, 7.47, 7.0, 8.8]	[90.44, 79.88, 74.21, 69.72, 65.67, 62.41, 58.95, 56.07, 53.75]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	2	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	6.24	2.5	[11.74, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 45.87, 23.53, 15.33, 11.6, 9.57, 8.08, 6.94, 6.24]	[11.74, 3.53, 3.36, 3.07, 2.9, 2.82, 2.69, 2.56, 2.5]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	6	[]	0	1	-1	1	False	False	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
15.88	8.63	12.98	[43.08, 21.53, 21.53, 20.24, 19.87, 19.57, 19.57, 19.51, 15.88]	[nan, 8.33, 4.17, 7.13, 6.28, 6.08, 5.3, 4.41, 8.63]	[43.08, 20.52, 19.05, 17.62, 16.47, 15.6, 14.81, 13.95, 12.98]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	2	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	11.15	4.46	[19.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 66.27, 35.97, 22.42, 16.83, 13.37, 11.41, 9.98, 11.15]	[19.84, 5.1, 5.14, 4.48, 4.21, 3.94, 3.8, 3.68, 4.46]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	15	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	8	[]	0	1	-1	1	False	False	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	10.12	4.05	[20.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 54.8, 29.93, 20.8, 15.63, 12.43, 10.45, 9.66, 10.12]	[20.21, 4.21, 4.27, 4.16, 3.91, 3.66, 3.48, 3.56, 4.05]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	15	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	6	[]	0	1	-1	1	False	False	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	39.36	15.74	[89.0, 6.5, 0.46, 0.12, 0.01, 0.0, 0.0, 0.0, 0.0]	[nan, 85.93, 65.27, 47.13, 45.93, 44.8, 43.93, 37.63, 39.36]	[89.0, 12.61, 9.72, 9.52, 11.49, 13.18, 14.64, 13.86, 15.74]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	-1	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.02	3.31	1.33	[9.83, 1.13, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 0.02]	[nan, 14.93, 7.57, 5.07, 3.82, 3.05, 2.54, 2.21, 3.31]	[9.83, 2.19, 2.04, 1.91, 1.79, 1.69, 1.59, 1.52, 1.33]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	4	[]	0	1	-1	1	False	True	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
42.93	6.9	28.52	[44.21, 43.22, 43.18, 43.18, 43.18, 43.18, 43.18, 42.97, 42.93]	[nan, 14.27, 8.8, 7.91, 5.93, 4.75, 5.03, 6.76, 6.9]	[44.21, 40.99, 38.27, 36.13, 33.87, 31.88, 30.47, 29.63, 28.52]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	15	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	12	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
78.93	8.27	50.67	[89.33, 81.42, 81.42, 81.09, 81.08, 80.82, 80.82, 80.79, 78.93]	[nan, 10.8, 5.77, 6.98, 6.32, 7.33, 6.15, 5.93, 8.27]	[89.33, 75.99, 70.62, 66.27, 62.39, 59.2, 55.93, 53.21, 50.67]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	-1	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
